 2024/9/1 21:0:0, 27.70, 64.0
 2024/9/1 21:10:0, 27.80, 65.0
 2024/9/1 21:20:0, 27.80, 65.0
 2024/9/1 21:30:0, 27.80, 65.0
 2024/9/1 21:40:0, 27.80, 65.0
 2024/9/1 21:50:0, 27.80, 65.0
 2024/9/1 22:0:0, 27.80, 66.0
 2024/9/1 22:10:0, 27.80, 66.0
 2024/9/1 22:20:0, 27.90, 67.0
 2024/9/1 22:30:0, 28.0, 67.0
 2024/9/1 22:40:0, 27.90, 66.0
 2024/9/1 22:50:0, 27.70, 65.0
 2024/9/1 23:0:0, 27.70, 66.0
 2024/9/1 23:10:0, 27.70, 67.0
 2024/9/1 23:20:0, 27.50, 66.0
 2024/9/1 23:30:0, 27.30, 65.0
 2024/9/1 23:40:0, 26.80, 66.0
 2024/9/1 23:50:0, 27.10, 67.0
 2024/9/2 0:0:0, 27.20, 68.0
 2024/9/2 0:10:0, 27.40, 69.0
 2024/9/2 0:20:0, 27.30, 68.0
 2024/9/2 0:30:0, 27.40, 68.0
 2024/9/2 0:40:0, 27.40, 68.0
 2024/9/2 0:50:0, 27.40, 68.0
 2024/9/2 1:0:0, 27.50, 68.0
 2024/9/2 1:10:0, 27.50, 68.0
 2024/9/2 1:20:0, 27.40, 68.0
 2024/9/2 1:30:0, 27.40, 68.0
 2024/9/2 1:40:0, 27.40, 68.0
 2024/9/2 1:50:0, 27.40, 68.0
 2024/9/2 2:0:0, 27.40, 68.0
 2024/9/2 2:10:0, 27.40, 68.0
 2024/9/2 2:20:0, 27.40, 68.0
 2024/9/2 2:30:0, 27.40, 67.0
 2024/9/2 2:40:0, 27.30, 67.0
 2024/9/2 2:50:0, 27.30, 68.0
 2024/9/2 3:0:0, 27.30, 67.0
 2024/9/2 3:10:0, 27.20, 67.0
 2024/9/2 3:20:0, 27.20, 67.0
 2024/9/2 3:30:0, 27.20, 68.0
 2024/9/2 3:40:0, 27.30, 68.0
 2024/9/2 3:50:0, 27.30, 68.0
 2024/9/2 4:0:0, 27.30, 68.0
 2024/9/2 4:10:0, 27.30, 68.0
 2024/9/2 4:20:0, 27.30, 67.0
 2024/9/2 4:30:0, 27.30, 67.0
 2024/9/2 4:40:0, 27.30, 67.0
 2024/9/2 4:50:0, 27.30, 67.0
 2024/9/2 5:0:0, 27.30, 67.0
 2024/9/2 5:10:0, 27.30, 67.0
 2024/9/2 5:20:0, 27.20, 67.0
 2024/9/2 5:30:0, 27.30, 67.0
 2024/9/2 5:40:0, 27.30, 67.0
 2024/9/2 5:50:0, 27.30, 67.0
 2024/9/2 6:0:0, 27.30, 67.0
 2024/9/2 6:10:0, 27.30, 67.0
 2024/9/2 6:20:0, 27.20, 66.0
 2024/9/2 6:30:0, 27.20, 66.0
 2024/9/2 6:40:0, 27.10, 66.0
 2024/9/2 6:50:0, 27.10, 66.0
 2024/9/2 7:0:0, 27.0, 66.0
 2024/9/2 7:10:0, 26.80, 65.0
 2024/9/2 7:20:0, 26.80, 67.0
 2024/9/2 7:30:0, 26.90, 67.0
 2024/9/2 7:40:0, 26.90, 67.0
 2024/9/2 7:50:0, 26.80, 67.0
 2024/9/2 8:0:0, 26.90, 68.0
 2024/9/2 8:10:0, 26.90, 68.0
 2024/9/2 8:20:0, 26.90, 68.0
 2024/9/2 8:30:0, 26.90, 68.0
 2024/9/2 8:40:0, 26.90, 67.0
 2024/9/2 8:50:0, 26.90, 67.0
 2024/9/2 9:0:0, 26.80, 67.0
 2024/9/2 9:10:0, 26.80, 67.0
 2024/9/2 9:20:0, 26.70, 66.0
 2024/9/2 9:30:0, 26.70, 66.0
 2024/9/2 9:40:0, 26.60, 66.0
 2024/9/2 9:50:0, 26.60, 67.0
 2024/9/2 10:0:0, 26.70, 66.0
 2024/9/2 10:10:0, 26.60, 64.0
 2024/9/2 10:20:0, 26.60, 63.0
 2024/9/2 10:30:0, 26.60, 63.0
 2024/9/2 10:40:0, 26.60, 63.0
 2024/9/2 10:50:0, 26.70, 64.0
 2024/9/2 11:0:0, 26.70, 64.0
 2024/9/2 11:10:0, 26.70, 64.0
 2024/9/2 11:20:0, 26.80, 64.0
 2024/9/2 11:30:0, 26.90, 65.0
 2024/9/2 11:40:0, 27.0, 65.0
 2024/9/2 11:50:0, 27.10, 66.0
 2024/9/2 12:0:0, 27.10, 68.0
 2024/9/2 12:10:0, 27.20, 68.0
 2024/9/2 12:20:0, 27.30, 67.0
 2024/9/2 12:30:0, 27.30, 68.0
 2024/9/2 12:40:0, 27.30, 67.0
 2024/9/2 12:50:0, 27.30, 68.0
 2024/9/2 13:0:0, 27.40, 68.0
 2024/9/2 13:10:0, 27.40, 68.0
 2024/9/2 13:20:0, 27.40, 68.0
 2024/9/2 13:30:0, 27.50, 68.0
 2024/9/2 13:40:0, 27.40, 69.0
 2024/9/2 13:50:0, 27.40, 69.0
 2024/9/2 14:0:0, 27.40, 69.0
 2024/9/2 14:10:0, 27.50, 70.0
 2024/9/2 14:20:0, 27.40, 71.0
 2024/9/2 14:30:0, 27.30, 70.0
 2024/9/2 14:40:0, 27.30, 71.0
 2024/9/2 14:50:0, 27.10, 70.0
 2024/9/2 15:0:0, 27.10, 70.0
 2024/9/2 15:10:0, 27.10, 71.0
 2024/9/2 15:20:0, 27.10, 71.0
 2024/9/2 15:30:0, 27.0, 71.0
 2024/9/2 15:40:0, 27.0, 70.0
 2024/9/2 15:50:0, 27.0, 70.0
 2024/9/2 16:0:0, 26.90, 69.0
 2024/9/2 16:10:0, 26.90, 69.0
 2024/9/2 16:20:0, 26.80, 69.0
 2024/9/2 16:30:0, 26.80, 69.0
 2024/9/2 16:40:0, 26.80, 69.0
 2024/9/2 16:50:0, 26.80, 69.0
 2024/9/2 17:0:0, 26.80, 69.0
 2024/9/2 17:10:0, 26.80, 70.0
 2024/9/2 17:20:0, 26.90, 70.0
 2024/9/2 17:30:0, 27.0, 71.0
 2024/9/2 17:40:0, 27.0, 71.0
 2024/9/2 17:50:0, 27.0, 71.0
 2024/9/2 18:0:0, 26.90, 70.0
 2024/9/2 18:10:0, 26.90, 70.0
 2024/9/2 18:20:0, 26.80, 69.0
 2024/9/2 18:30:0, 26.80, 68.0
 2024/9/2 18:40:0, 26.70, 69.0
 2024/9/2 18:50:0, 26.80, 69.0
 2024/9/2 19:0:0, 26.70, 68.0
 2024/9/2 19:10:0, 26.60, 68.0
 2024/9/2 19:20:0, 26.50, 68.0
 2024/9/2 19:30:0, 26.50, 68.0
 2024/9/2 19:40:0, 26.40, 68.0
 2024/9/2 19:50:0, 26.40, 67.0
 2024/9/2 20:0:0, 26.40, 67.0
 2024/9/2 20:10:0, 26.40, 67.0
